Week,amazon: (Google Shopping),amazon: (News search),tax: (News search),amazon: (Youtube search),Open,High,Low,Close ,Adj Close ,Volume
2017-12-17,72,26,55,42,59.37,59.74,58.38,58.42,58.42,"232,296,000"
2017-12-24,76,26,20,49,58.42,59.51,58.03,58.47,58.47,"168,050,000"
2017-12-31,72,25,14,44,58.6,61.46,58.53,61.46,61.46,"247,402,000"
2018-01-07,70,23,14,43,61.8,65.29,61.6,65.26,65.26,"383,910,000"
2018-01-14,67,28,13,39,66.15,67,64.04,64.73,64.73,"421,598,000"
2018-01-21,68,26,13,46,64.86,70.13,64.83,70.1,70.1,"514,544,000"
2018-01-28,68,29,16,43,70.46,74.9,69.26,71.5,71.5,"764,760,000"
2018-02-04,67,25,13,45,70.13,73.05,63.3,66.98,66.98,"1,048,892,000"
2018-02-11,64,21,12,37,68.23,73.45,67.2,72.43,72.43,"574,826,000"
2018-02-18,66,21,11,34,72.32,75.17,72.32,75,75,"441,596,000"
2018-02-25,66,22,10,40,75.46,76.43,72.75,75.01,75.01,"554,032,000"
2018-03-04,67,24,10,40,74.71,78.95,74.05,78.94,78.94,"447,332,000"
2018-03-11,68,24,10,41,79.63,80.88,78.38,78.58,78.58,"509,204,000"
2018-03-18,67,25,10,39,77.73,79.5,74.77,74.78,74.78,"604,796,000"
2018-03-25,64,27,11,37,76.5,78.8,68.26,72.37,72.37,"778,214,000"
2018-04-01,67,27,11,39,70.88,72.98,67.64,70.26,70.26,"799,458,000"
2018-04-08,67,22,9,37,71.25,72.99,70.13,71.54,71.54,"377,302,000"
2018-04-15,63,25,12,36,72.25,78.43,71.37,76.37,76.37,"504,316,000"
2018-04-22,61,27,9,38,77.33,81.9,70.75,78.63,78.63,"808,034,000"
2018-04-29,64,27,9,36,79.13,79.8,77.3,79.05,79.05,"441,840,000"
2018-05-06,62,22,9,37,79.47,80.78,79.13,80.15,80.15,"311,770,000"
2018-05-13,64,21,9,37,80.2,80.56,78.26,78.72,78.72,"298,956,000"
2018-05-20,58,22,8,38,79.25,80.71,78.32,80.51,80.51,"290,622,000"
2018-05-27,60,20,8,38,80.04,82.34,80.01,82.08,82.08,"264,672,000"
2018-06-03,63,23,9,37,82.44,85.72,82.27,84.2,84.2,"403,278,000"
2018-06-10,64,21,9,36,84.08,86.24,84.03,85.8,85.8,"317,484,000"
2018-06-17,64,21,9,35,85.31,88.15,85.02,85.78,85.78,"414,932,000"
2018-06-24,65,22,9,35,85.13,86.17,82.32,84.99,84.99,"516,864,000"
2018-07-01,65,20,9,35,84.14,86.25,83.9,85.53,85.53,"219,928,000"
2018-07-08,66,23,8,36,86.2,90.76,85.81,90.65,90.65,"362,812,000"
2018-07-15,69,39,9,44,91.1,92.94,89.87,90.68,90.68,"491,446,000"
2018-07-22,63,25,10,35,90.61,94,88.5,90.86,90.86,"630,216,000"
2018-07-29,62,23,9,36,91.37,92.05,86.97,91.16,91.16,"485,386,000"
2018-08-05,62,22,9,37,91.29,95.73,90.95,94.32,94.32,"384,652,000"
2018-08-12,65,23,7,36,94.93,96.25,92.78,94.11,94.11,"505,594,000"
2018-08-19,66,23,8,39,94.53,95.97,93.3,95.27,95.27,"308,240,000"
2018-08-26,63,23,9,40,95.75,101.28,95.46,100.64,100.64,"493,664,000"
2018-09-02,63,25,7,39,101.32,102.53,96.76,97.6,97.6,"526,460,000"
2018-09-09,64,24,9,39,98.55,100.44,95.85,98.51,98.51,"425,118,000"
2018-09-16,65,27,9,43,97.74,97.91,94.37,95.75,95.75,"507,730,000"
2018-09-23,59,24,9,38,95.19,101.33,93.25,100.15,100.15,"429,602,000"
2018-09-30,62,27,10,39,101.1,101.66,93.14,94.48,94.48,"563,872,000"
2018-10-07,65,28,9,44,93.7,95.1,84.25,89.43,89.43,"930,710,000"
2018-10-14,62,25,9,40,89.75,92.25,86.71,88.2,88.2,"587,470,000"
2018-10-21,65,28,9,42,89.2,90.47,80.15,82.14,82.14,"868,036,000"
2018-10-28,61,27,10,42,83,84.87,73.82,83.28,83.28,"1,016,148,000"
2018-11-04,64,28,9,40,82.88,89.2,79.82,85.62,85.62,"610,228,000"
2018-11-11,68,35,8,44,84.91,85.43,77.33,79.67,79.67,"674,396,000"
2018-11-18,70,36,8,46,78.85,79.06,71,75.1,75.1,"541,864,000"
2018-11-25,75,30,9,47,76.95,84.8,76.21,84.51,84.51,"657,492,000"
2018-12-02,66,29,9,41,88.47,88.92,80.49,81.46,81.46,"638,446,000"
2018-12-09,75,27,9,43,81.19,85.25,79.25,79.6,79.6,"639,520,000"
2018-12-16,72,27,10,42,78.3,79.23,68.2,68.87,68.87,"955,542,000"
2018-12-23,66,24,7,45,67.3,75.67,65.35,73.9,73.9,"723,656,000"
2018-12-30,65,22,10,42,75.54,79.7,73.05,78.77,78.77,"621,916,000"
2019-01-06,61,25,11,45,80.12,83.83,79.46,82.03,82.03,"688,346,000"
2019-01-13,64,25,10,40,80.75,85.81,79.76,84.81,84.81,"572,014,000"
2019-01-20,70,23,10,42,84.05,84.17,80.51,83.53,83.53,"413,556,000"
2019-01-27,66,25,16,42,82.18,86.82,79.54,81.31,81.31,"753,416,000"
2019-02-03,62,24,13,41,81.15,83.61,78.34,79.41,79.41,"472,124,000"
2019-02-10,61,34,14,38,80.05,82.82,79.3,80.4,80.4,"404,012,000"
2019-02-17,61,26,14,39,80.05,81.75,80.03,81.58,81.58,"271,978,000"
2019-02-24,65,24,11,37,82.07,83.71,80.75,83.59,83.59,"339,998,000"
2019-03-03,67,24,12,40,84.25,85.47,79.33,81.04,81.04,"469,378,000"
2019-03-10,66,22,10,37,81.31,85.94,81.3,85.62,85.62,"430,808,000"
2019-03-17,67,22,11,36,85.64,91.19,85.63,88.24,88.24,"603,794,000"
2019-03-24,67,23,11,36,87.89,90.29,87.28,89.04,89.04,"413,166,000"
2019-03-31,70,22,13,37,90.01,91.93,89.94,91.86,91.86,"377,548,000"
2019-04-07,71,23,13,36,91.66,92.65,91.26,92.15,92.15,"324,008,000"
2019-04-14,69,22,12,37,92.1,93.82,90.94,93.08,93.08,"248,248,000"
2019-04-21,66,23,10,37,92.77,97.55,92.28,97.53,97.53,"524,434,000"
2019-04-28,70,23,10,40,97.45,98.22,94.09,98.12,98.12,"419,776,000"
2019-05-05,72,21,10,36,95.9,97.95,92.8,94.5,94.5,"528,496,000"
2019-05-12,68,22,9,39,91.83,95.88,90.79,93.45,93.45,"490,990,000"
2019-05-19,71,22,8,37,92.63,93.95,90.21,91.16,91.16,"370,678,000"
2019-05-26,69,21,9,40,91.64,92.46,88.64,88.75,88.75,"304,894,000"
2019-06-02,71,22,8,39,88,90.31,83.6,90.2,90.2,"550,302,000"
2019-06-09,71,20,10,39,91.1,94.68,90.9,93.48,93.48,"354,780,000"
2019-06-16,72,22,9,37,93.82,96.76,93.77,95.57,95.57,"331,522,000"
2019-06-23,73,22,10,38,95.63,95.84,93.62,94.68,94.68,"258,326,000"
2019-06-30,73,22,14,40,96.15,97.29,95.33,97.15,97.15,"203,134,000"
2019-07-07,73,26,11,42,96.71,101.79,96.41,100.55,100.55,"379,762,000"
2019-07-14,86,35,10,47,101.07,101.32,97.58,98.23,98.23,"296,616,000"
2019-07-21,75,26,11,41,98.56,100.07,96.23,97.15,97.15,"345,968,000"
